2019-12-07 09:59:33 同步部门 任务开始
2019-12-07 09:59:33 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:59:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:59:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:59:54 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:59:54 同步部门 任务开始
2019-12-07 09:59:54 同步部门 新中新小一卡通临时表创建成功
2019-12-07 10:00:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:00:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:00:15 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 10:00:15 同步部门 任务开始
2019-12-07 10:00:16 同步部门 新中新小一卡通临时表创建成功
2019-12-07 10:00:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:00:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:00:37 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 10:00:37 同步部门 任务开始
2019-12-07 10:00:37 同步部门 新中新小一卡通临时表创建成功
2019-12-07 10:00:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:00:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:00:58 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 10:00:58 同步部门 任务开始
2019-12-07 10:00:58 同步部门 新中新小一卡通临时表创建成功
2019-12-07 10:01:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:01:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:01:19 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 10:01:19 同步部门 任务开始
2019-12-07 10:01:19 同步部门 新中新小一卡通临时表创建成功
2019-12-07 10:01:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:01:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:01:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:01:40 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 10:01:41 同步部门 任务开始
2019-12-07 10:01:41 同步部门 新中新小一卡通临时表创建成功
2019-12-07 10:01:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:02:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 10:02:02 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 10:02:02 同步部门 任务开始
2019-12-07 10:02:02 同步部门 新中新小一卡通临时表创建成功
2019-12-07 10:02:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
